algoritmo;vertices;arestas;densidade;semente;repeticoes;media_ms;desvio_padrao_ms;mediana_ms;minimo_ms;maximo_ms;memoria_pico_bytes
Bellman-Ford repetido;30;60;esparso;42;30;2,067817;0,230777;1,992239;1,806451;3,117807;18280
Dijkstra repetido;30;60;esparso;42;30;1,100529;0,158713;1,059288;0,948244;1,769598;24312
Floyd-Warshall;30;60;esparso;42;30;2,721431;0,208974;2,646081;2,398520;3,296196;19680
Johnson;30;60;esparso;42;30;1,328337;0,098717;1,308347;1,159165;1,544115;28200
Bellman-Ford repetido;30;174;intermediario;43;30;4,636640;0,183601;4,635069;4,238713;5,047995;10888
Dijkstra repetido;30;174;intermediario;43;30;1,841255;0,094562;1,797202;1,749267;2,148034;25048
Floyd-Warshall;30;174;intermediario;43;30;3,607079;0,187624;3,579551;3,335081;4,098910;9952
Johnson;30;174;intermediario;43;30;2,004113;0,097581;1,985833;1,803034;2,201978;29432
Bellman-Ford repetido;30;435;denso;44;30;9,958918;0,207747;9,892193;9,678508;10,427040;10696
Dijkstra repetido;30;435;denso;44;30;3,084030;0,158244;3,054766;2,861688;3,626632;43416
Floyd-Warshall;30;435;denso;44;30;4,042333;0,165299;4,039003;3,765367;4,432649;9536
Johnson;30;435;denso;44;30;3,338597;0,258680;3,290917;3,055383;4,397171;49832
Bellman-Ford repetido;60;120;esparso;45;30;8,794678;0,307225;8,774517;8,207301;9,369679;74232
Dijkstra repetido;60;120;esparso;45;30;4,253564;0,381145;4,170151;3,893075;6,039435;86096
Floyd-Warshall;60;120;esparso;45;30;14,183847;0,531923;14,129719;12,959816;15,831742;74128
Johnson;60;120;esparso;45;30;4,979742;0,234803;4,931194;4,590013;5,573440;93824
Bellman-Ford repetido;60;708;intermediario;46;30;36,656730;0,763280;36,747025;34,488126;37,634316;35032
Dijkstra repetido;60;708;intermediario;46;30;10,539052;0,378550;10,492695;9,524319;11,215317;90144
Floyd-Warshall;60;708;intermediario;46;30;26,098731;0,624133;26,083979;24,957343;27,332382;35760
Johnson;60;708;intermediario;46;30;11,329673;0,375350;11,254661;10,691843;12,266402;101384
Bellman-Ford repetido;60;1770;denso;47;30;77,120910;1,530556;76,947986;74,375571;82,872012;35320
Dijkstra repetido;60;1770;denso;47;30;17,934461;0,591862;17,867779;16,400814;19,155557;161488
Floyd-Warshall;60;1770;denso;47;30;29,513217;0,830877;29,497438;27,363175;31,638255;34768
Johnson;60;1770;denso;47;30;18,797729;0,491811;18,896722;17,709711;19,697513;181224
Bellman-Ford repetido;100;200;esparso;48;30;26,923985;0,697520;26,882623;25,627805;28,621943;245336
Dijkstra repetido;100;200;esparso;48;30;12,282088;0,431703;12,337734;11,384613;13,062461;265864
Floyd-Warshall;100;200;esparso;48;30;50,903788;0,858399;50,966216;48,703685;52,223517;243120
Johnson;100;200;esparso;48;30;17,278665;2,228441;16,703760;15,316308;25,069398;279096
Bellman-Ford repetido;100;1980;intermediario;49;30;191,232117;27,485105;182,464838;170,028375;308,433096;90392
Dijkstra repetido;100;1980;intermediario;49;30;40,374456;2,333897;39,918416;38,630741;52,314790;236016
Floyd-Warshall;100;1980;intermediario;49;30;120,184019;1,110364;120,049682;118,104066;122,678063;102544
Johnson;100;1980;intermediario;49;30;41,884267;0,674890;41,889236;40,351583;43,258111;260952
Bellman-Ford repetido;100;4950;denso;50;30;361,558094;2,122555;361,430344;357,272935;364,978203;91288
Dijkstra repetido;100;4950;denso;50;30;69,051472;1,323322;69,166187;66,435737;72,973383;431872
Floyd-Warshall;100;4950;denso;50;30;130,727108;1,792602;130,456979;127,627702;134,536205;87488
Johnson;100;4950;denso;50;30;70,988024;1,013539;70,996036;69,042713;72,912836;480568
Bellman-Ford repetido;150;300;esparso;51;30;62,324108;2,433300;61,756458;60,738618;74,194350;653576
Dijkstra repetido;150;300;esparso;51;30;28,151042;0,510953;28,252882;26,943142;29,439148;684720
Floyd-Warshall;150;300;esparso;51;30;183,587479;12,801999;178,227735;171,888421;217,844096;655120
Johnson;150;300;esparso;51;30;33,149408;0,513329;33,164073;31,989431;34,051534;705856
Bellman-Ford repetido;150;4470;intermediario;52;30;630,039307;5,481894;628,968911;622,768345;645,230454;197064
Dijkstra repetido;150;4470;intermediario;52;30;117,327987;1,287349;117,261493;114,855412;120,699087;513960
Floyd-Warshall;150;4470;intermediario;52;30;421,009979;3,128241;420,879876;416,294099;428,913973;222304
Johnson;150;4470;intermediario;52;30;120,899131;1,270899;120,835475;118,109335;123,791148;563216
Bellman-Ford repetido;150;11175;denso;53;30;1332,741389;25,611858;1326,993972;1310,757832;1422,717277;197192
Dijkstra repetido;150;11175;denso;53;30;222,805092;21,704035;213,375148;208,143040;318,223533;954008
Floyd-Warshall;150;11175;denso;53;30;442,906624;23,402722;431,640840;424,569041;521,906939;192368
Johnson;150;11175;denso;53;30;216,304481;2,508376;216,389613;210,693424;221,550359;1056904
