algoritmo;vertices;arestas;densidade;semente;repeticao;tempo_ms
Bellman-Ford;30;60;esparso;42;1;3,733329
Bellman-Ford;30;60;esparso;42;2;3,755323
Bellman-Ford;30;60;esparso;42;3;3,961856
Bellman-Ford;30;60;esparso;42;4;3,857418
Bellman-Ford;30;60;esparso;42;5;4,283757
Bellman-Ford;30;60;esparso;42;6;2,888888
Bellman-Ford;30;60;esparso;42;7;3,368677
Bellman-Ford;30;60;esparso;42;8;3,540449
Bellman-Ford;30;60;esparso;42;9;4,291978
Bellman-Ford;30;60;esparso;42;10;2,530740
Bellman-Ford;30;60;esparso;42;11;2,649490
Bellman-Ford;30;60;esparso;42;12;4,205134
Bellman-Ford;30;60;esparso;42;13;2,473198
Bellman-Ford;30;60;esparso;42;14;3,823243
Bellman-Ford;30;60;esparso;42;15;4,237336
Bellman-Ford;30;60;esparso;42;16;3,968541
Bellman-Ford;30;60;esparso;42;17;4,259116
Bellman-Ford;30;60;esparso;42;18;4,063940
Bellman-Ford;30;60;esparso;42;19;2,251847
Bellman-Ford;30;60;esparso;42;20;2,773119
Bellman-Ford;30;60;esparso;42;21;2,736862
Bellman-Ford;30;60;esparso;42;22;3,686563
Bellman-Ford;30;60;esparso;42;23;3,742368
Bellman-Ford;30;60;esparso;42;24;4,233987
Bellman-Ford;30;60;esparso;42;25;2,458264
Bellman-Ford;30;60;esparso;42;26;3,577489
Bellman-Ford;30;60;esparso;42;27;2,279251
Bellman-Ford;30;60;esparso;42;28;2,216681
Bellman-Ford;30;60;esparso;42;29;3,088628
Bellman-Ford;30;60;esparso;42;30;2,735673
Dijkstra;30;60;esparso;42;1;1,086500
Dijkstra;30;60;esparso;42;2;1,203088
Dijkstra;30;60;esparso;42;3;1,951151
Dijkstra;30;60;esparso;42;4;2,021222
Dijkstra;30;60;esparso;42;5;1,173990
Dijkstra;30;60;esparso;42;6;1,295643
Dijkstra;30;60;esparso;42;7;1,251141
Dijkstra;30;60;esparso;42;8;1,475948
Dijkstra;30;60;esparso;42;9;1,096827
Dijkstra;30;60;esparso;42;10;1,183295
Dijkstra;30;60;esparso;42;11;1,453286
Dijkstra;30;60;esparso;42;12;1,232011
Dijkstra;30;60;esparso;42;13;1,172373
Dijkstra;30;60;esparso;42;14;1,173588
Dijkstra;30;60;esparso;42;15;1,132315
Dijkstra;30;60;esparso;42;16;1,273948
Dijkstra;30;60;esparso;42;17;1,158543
Dijkstra;30;60;esparso;42;18;1,070687
Dijkstra;30;60;esparso;42;19;1,532998
Dijkstra;30;60;esparso;42;20;1,253717
Dijkstra;30;60;esparso;42;21;1,315504
Dijkstra;30;60;esparso;42;22;1,821618
Dijkstra;30;60;esparso;42;23;1,103057
Dijkstra;30;60;esparso;42;24;1,206352
Dijkstra;30;60;esparso;42;25;1,758178
Dijkstra;30;60;esparso;42;26;1,252773
Dijkstra;30;60;esparso;42;27;1,266567
Dijkstra;30;60;esparso;42;28;1,332834
Dijkstra;30;60;esparso;42;29;1,089095
Dijkstra;30;60;esparso;42;30;1,408629
Floyd-Warshall;30;60;esparso;42;1;3,430597
Floyd-Warshall;30;60;esparso;42;2;2,859068
Floyd-Warshall;30;60;esparso;42;3;3,046968
Floyd-Warshall;30;60;esparso;42;4;3,062043
Floyd-Warshall;30;60;esparso;42;5;2,917990
Floyd-Warshall;30;60;esparso;42;6;2,942357
Floyd-Warshall;30;60;esparso;42;7;2,813346
