algoritmo;vertices;arestas;densidade;semente;repeticoes;media_ms;desvio_padrao_ms;mediana_ms;minimo_ms;maximo_ms;memoria_pico_bytes
Bellman-Ford;30;60;esparso;42;30;2,337191;0,438331;2,260894;1,923441;4,227248;18280
Bellman-Ford;30;174;intermediario;43;30;4,475776;0,247710;4,455606;4,104757;5,043527;10888
Bellman-Ford;30;435;denso;44;30;9,913168;0,377572;9,868141;9,188263;10,600391;10696
Bellman-Ford;60;120;esparso;45;30;8,958593;0,420948;8,899962;8,310656;9,971853;74232
Bellman-Ford;60;708;intermediario;46;30;36,607786;0,540132;36,594758;35,149405;37,754187;35032
Bellman-Ford;60;1770;denso;47;30;77,892623;1,299740;78,020491;75,285717;80,761117;35320
Bellman-Ford;100;200;esparso;48;30;27,137733;0,699573;27,085550;25,939648;29,100066;245336
Bellman-Ford;100;1980;intermediario;49;30;170,830150;1,997657;171,099074;167,306660;173,893492;90392
Bellman-Ford;100;4950;denso;50;30;362,552524;2,815575;362,269036;353,601429;367,456608;91288
Bellman-Ford;150;300;esparso;51;30;62,089231;1,004695;61,844262;60,061374;63,840718;653576
Bellman-Ford;150;4470;intermediario;52;30;632,921007;20,633272;627,066482;613,799188;711,019811;197064
Bellman-Ford;150;11175;denso;53;30;1306,405305;47,786897;1296,561735;1281,941886;1554,378086;197192
