algoritmo;vertices;arestas;densidade;semente;repeticao;tempo_ms
Bellman-Ford;30;60;esparso;42;1;2,913424
Bellman-Ford;30;60;esparso;42;2;2,467311
Bellman-Ford;30;60;esparso;42;3;4,227248
Bellman-Ford;30;60;esparso;42;4;2,499047
Bellman-Ford;30;60;esparso;42;5;2,516024
Bellman-Ford;30;60;esparso;42;6;2,671369
Bellman-Ford;30;60;esparso;42;7;2,538541
Bellman-Ford;30;60;esparso;42;8;2,666091
Bellman-Ford;30;60;esparso;42;9;2,599866
Bellman-Ford;30;60;esparso;42;10;2,272798
Bellman-Ford;30;60;esparso;42;11;2,402255
Bellman-Ford;30;60;esparso;42;12;2,164031
Bellman-Ford;30;60;esparso;42;13;2,321899
Bellman-Ford;30;60;esparso;42;14;2,055831
Bellman-Ford;30;60;esparso;42;15;2,012729
Bellman-Ford;30;60;esparso;42;16;2,045782
Bellman-Ford;30;60;esparso;42;17;2,248989
Bellman-Ford;30;60;esparso;42;18;2,204229
Bellman-Ford;30;60;esparso;42;19;1,949045
Bellman-Ford;30;60;esparso;42;20;2,248450
Bellman-Ford;30;60;esparso;42;21;1,953094
Bellman-Ford;30;60;esparso;42;22;2,399640
Bellman-Ford;30;60;esparso;42;23;2,009353
Bellman-Ford;30;60;esparso;42;24;2,019735
Bellman-Ford;30;60;esparso;42;25;1,923441
Bellman-Ford;30;60;esparso;42;26;2,168481
Bellman-Ford;30;60;esparso;42;27;2,290468
Bellman-Ford;30;60;esparso;42;28;2,016452
Bellman-Ford;30;60;esparso;42;29;2,013024
Bellman-Ford;30;60;esparso;42;30;2,297086
Bellman-Ford;30;174;intermediario;43;1;4,929243
Bellman-Ford;30;174;intermediario;43;2;4,837405
Bellman-Ford;30;174;intermediario;43;3;4,893827
Bellman-Ford;30;174;intermediario;43;4;4,498028
Bellman-Ford;30;174;intermediario;43;5;4,687233
Bellman-Ford;30;174;intermediario;43;6;4,554389
Bellman-Ford;30;174;intermediario;43;7;4,681185
Bellman-Ford;30;174;intermediario;43;8;4,589823
Bellman-Ford;30;174;intermediario;43;9;4,502515
Bellman-Ford;30;174;intermediario;43;10;4,362571
Bellman-Ford;30;174;intermediario;43;11;4,498313
Bellman-Ford;30;174;intermediario;43;12;4,305602
Bellman-Ford;30;174;intermediario;43;13;4,292898
Bellman-Ford;30;174;intermediario;43;14;4,391709
Bellman-Ford;30;174;intermediario;43;15;4,175016
Bellman-Ford;30;174;intermediario;43;16;4,264203
Bellman-Ford;30;174;intermediario;43;17;4,219101
Bellman-Ford;30;174;intermediario;43;18;4,848606
Bellman-Ford;30;174;intermediario;43;19;5,043527
Bellman-Ford;30;174;intermediario;43;20;4,456690
Bellman-Ford;30;174;intermediario;43;21;4,545396
Bellman-Ford;30;174;intermediario;43;22;4,192288
Bellman-Ford;30;174;intermediario;43;23;4,420508
Bellman-Ford;30;174;intermediario;43;24;4,308426
Bellman-Ford;30;174;intermediario;43;25;4,465064
