algoritmo;vertices;arestas;densidade;semente;repeticoes;media_ms;desvio_padrao_ms;mediana_ms;minimo_ms;maximo_ms;memoria_pico_bytes
Dijkstra;30;60;esparso;42;30;0,965336;0,058035;0,961600;0,871552;1,088131;24312
Dijkstra;30;174;intermediario;43;30;1,782880;0,268160;1,721029;1,602570;3,056368;25048
Dijkstra;30;435;denso;44;30;3,056379;0,228027;3,042042;2,627517;3,715555;43416
Dijkstra;60;120;esparso;45;30;4,153665;0,361965;4,056618;3,805276;5,658442;86096
Dijkstra;60;708;intermediario;46;30;10,492229;0,282794;10,485450;9,808840;11,277915;90144
Dijkstra;60;1770;denso;47;30;17,341603;0,465647;17,340151;16,538103;18,922534;161488
Dijkstra;100;200;esparso;48;30;11,946784;0,453242;11,999098;11,183677;13,549021;265864
Dijkstra;100;1980;intermediario;49;30;39,924885;0,811038;39,775940;38,166568;41,750279;236016
Dijkstra;100;4950;denso;50;30;68,516379;1,127897;68,570211;66,332763;70,330078;431872
Dijkstra;150;300;esparso;51;30;27,877710;1,167764;27,703621;26,206787;32,787404;684720
Dijkstra;150;4470;intermediario;52;30;116,137561;1,453143;116,030720;113,762817;119,782228;513960
Dijkstra;150;11175;denso;53;30;211,122788;2,894048;211,013807;204,264446;218,034438;954008
