algoritmo;vertices;arestas;densidade;semente;repeticao;tempo_ms
Dijkstra;30;60;esparso;42;1;1,019924
Dijkstra;30;60;esparso;42;2;1,004818
Dijkstra;30;60;esparso;42;3;0,970418
Dijkstra;30;60;esparso;42;4;0,871552
Dijkstra;30;60;esparso;42;5;0,994600
Dijkstra;30;60;esparso;42;6;1,020235
Dijkstra;30;60;esparso;42;7;0,922114
Dijkstra;30;60;esparso;42;8;0,929873
Dijkstra;30;60;esparso;42;9;0,932977
Dijkstra;30;60;esparso;42;10;0,892507
Dijkstra;30;60;esparso;42;11;1,004544
Dijkstra;30;60;esparso;42;12;1,010104
Dijkstra;30;60;esparso;42;13;1,007288
Dijkstra;30;60;esparso;42;14;1,003856
Dijkstra;30;60;esparso;42;15;1,071981
Dijkstra;30;60;esparso;42;16;1,002929
Dijkstra;30;60;esparso;42;17;1,088131
Dijkstra;30;60;esparso;42;18;0,943847
Dijkstra;30;60;esparso;42;19;0,899989
Dijkstra;30;60;esparso;42;20;0,957518
Dijkstra;30;60;esparso;42;21;1,009534
Dijkstra;30;60;esparso;42;22;0,945632
Dijkstra;30;60;esparso;42;23;1,045768
Dijkstra;30;60;esparso;42;24;0,934109
Dijkstra;30;60;esparso;42;25;0,938207
Dijkstra;30;60;esparso;42;26;0,894296
Dijkstra;30;60;esparso;42;27;0,898365
Dijkstra;30;60;esparso;42;28;0,891872
Dijkstra;30;60;esparso;42;29;0,887418
Dijkstra;30;60;esparso;42;30;0,965683
Dijkstra;30;174;intermediario;43;1;1,822368
Dijkstra;30;174;intermediario;43;2;1,929589
Dijkstra;30;174;intermediario;43;3;1,720069
Dijkstra;30;174;intermediario;43;4;3,056368
Dijkstra;30;174;intermediario;43;5;1,868617
Dijkstra;30;174;intermediario;43;6;1,781593
Dijkstra;30;174;intermediario;43;7;1,740903
Dijkstra;30;174;intermediario;43;8;1,781697
Dijkstra;30;174;intermediario;43;9;1,762077
Dijkstra;30;174;intermediario;43;10;2,224663
Dijkstra;30;174;intermediario;43;11;1,767737
Dijkstra;30;174;intermediario;43;12;1,715871
Dijkstra;30;174;intermediario;43;13;1,770268
Dijkstra;30;174;intermediario;43;14;1,721988
Dijkstra;30;174;intermediario;43;15;1,766280
Dijkstra;30;174;intermediario;43;16;1,679635
Dijkstra;30;174;intermediario;43;17;1,636317
Dijkstra;30;174;intermediario;43;18;1,680874
Dijkstra;30;174;intermediario;43;19;1,687302
Dijkstra;30;174;intermediario;43;20;1,695193
Dijkstra;30;174;intermediario;43;21;1,616074
Dijkstra;30;174;intermediario;43;22;1,664702
Dijkstra;30;174;intermediario;43;23;1,645457
Dijkstra;30;174;intermediario;43;24;1,602570
Dijkstra;30;174;intermediario;43;25;1,649192
Dijkstra;30;174;intermediario;43;26;1,778387
Dijkstra;30;174;intermediario;43;27;1,664993
Dijkstra;30;174;intermediario;43;28;1,645475
Dijkstra;30;174;intermediario;43;29;1,643165
Dijkstra;30;174;intermediario;43;30;1,766990
Dijkstra;30;435;denso;44;1;2,868819
Dijkstra;30;435;denso;44;2;3,715555
Dijkstra;30;435;denso;44;3;2,985377
Dijkstra;30;435;denso;44;4;3,281750
Dijkstra;30;435;denso;44;5;3,509179
Dijkstra;30;435;denso;44;6;3,215700
Dijkstra;30;435;denso;44;7;2,882961
Dijkstra;30;435;denso;44;8;3,131419
Dijkstra;30;435;denso;44;9;3,226635
Dijkstra;30;435;denso;44;10;3,078723
Dijkstra;30;435;denso;44;11;3,094046
Dijkstra;30;435;denso;44;12;3,427003
Dijkstra;30;435;denso;44;13;3,019860
Dijkstra;30;435;denso;44;14;2,994341
Dijkstra;30;435;denso;44;15;2,854023
Dijkstra;30;435;denso;44;16;2,744695
Dijkstra;30;435;denso;44;17;2,627517
Dijkstra;30;435;denso;44;18;2,958019
Dijkstra;30;435;denso;44;19;3,210874
Dijkstra;30;435;denso;44;20;2,952615
Dijkstra;30;435;denso;44;21;3,124518
Dijkstra;30;435;denso;44;22;2,925707
Dijkstra;30;435;denso;44;23;2,762408
Dijkstra;30;435;denso;44;24;2,978011
Dijkstra;30;435;denso;44;25;3,066109
Dijkstra;30;435;denso;44;26;3,064224
Dijkstra;30;435;denso;44;27;3,110867
Dijkstra;30;435;denso;44;28;2,916636
Dijkstra;30;435;denso;44;29;3,101161
Dijkstra;30;435;denso;44;30;2,862628
Dijkstra;60;120;esparso;45;1;4,426537
Dijkstra;60;120;esparso;45;2;4,563052
Dijkstra;60;120;esparso;45;3;4,070093
Dijkstra;60;120;esparso;45;4;3,944718
Dijkstra;60;120;esparso;45;5;4,167552
Dijkstra;60;120;esparso;45;6;4,313712
Dijkstra;60;120;esparso;45;7;4,161392
Dijkstra;60;120;esparso;45;8;5,658442
Dijkstra;60;120;esparso;45;9;3,884271
Dijkstra;60;120;esparso;45;10;4,002218
Dijkstra;60;120;esparso;45;11;3,930115
Dijkstra;60;120;esparso;45;12;4,074990
