algoritmo;vertices;arestas;densidade;semente;repeticoes;media_ms;desvio_padrao_ms;mediana_ms;minimo_ms;maximo_ms;memoria_pico_bytes
Floyd-Warshall;30;60;esparso;42;30;2,516458;0,160293;2,524453;2,208868;2,860189;19680
Floyd-Warshall;30;174;intermediario;43;30;3,468127;0,186056;3,455539;3,147844;3,829413;9952
Floyd-Warshall;30;435;denso;44;30;3,926222;0,222510;3,874569;3,606793;4,420762;9536
Floyd-Warshall;60;120;esparso;45;30;13,910169;0,426456;13,885513;12,917483;15,473305;74128
Floyd-Warshall;60;708;intermediario;46;30;25,391628;0,597205;25,349672;24,514315;27,829281;35760
Floyd-Warshall;60;1770;denso;47;30;28,296009;0,923905;28,162803;27,122357;31,641418;34768
Floyd-Warshall;100;200;esparso;48;30;47,901519;0,866093;47,923708;46,082266;50,157396;243120
Floyd-Warshall;100;1980;intermediario;49;30;114,742394;2,080581;114,508848;110,814127;118,781172;102544
Floyd-Warshall;100;4950;denso;50;30;125,422514;4,585225;124,663808;120,022393;147,665010;87488
Floyd-Warshall;150;300;esparso;51;30;166,944375;1,883156;166,796622;163,162462;172,880365;655120
Floyd-Warshall;150;4470;intermediario;52;30;404,964807;4,535617;404,365850;397,149232;420,269600;222304
Floyd-Warshall;150;11175;denso;53;30;415,866836;3,855615;414,934608;408,621552;424,223823;192368
