algoritmo;vertices;arestas;densidade;semente;repeticao;tempo_ms
Floyd-Warshall;30;60;esparso;42;1;2,761250
Floyd-Warshall;30;60;esparso;42;2;2,598188
Floyd-Warshall;30;60;esparso;42;3;2,607398
Floyd-Warshall;30;60;esparso;42;4;2,544524
Floyd-Warshall;30;60;esparso;42;5;2,544632
Floyd-Warshall;30;60;esparso;42;6;2,583793
Floyd-Warshall;30;60;esparso;42;7;2,546064
Floyd-Warshall;30;60;esparso;42;8;2,744775
Floyd-Warshall;30;60;esparso;42;9;2,336928
Floyd-Warshall;30;60;esparso;42;10;2,320234
Floyd-Warshall;30;60;esparso;42;11;2,208868
Floyd-Warshall;30;60;esparso;42;12;2,293979
Floyd-Warshall;30;60;esparso;42;13;2,529565
Floyd-Warshall;30;60;esparso;42;14;2,463120
Floyd-Warshall;30;60;esparso;42;15;2,476230
Floyd-Warshall;30;60;esparso;42;16;2,860189
Floyd-Warshall;30;60;esparso;42;17;2,424972
Floyd-Warshall;30;60;esparso;42;18;2,303968
Floyd-Warshall;30;60;esparso;42;19;2,657806
Floyd-Warshall;30;60;esparso;42;20;2,716430
Floyd-Warshall;30;60;esparso;42;21;2,497957
Floyd-Warshall;30;60;esparso;42;22;2,463011
Floyd-Warshall;30;60;esparso;42;23;2,519341
Floyd-Warshall;30;60;esparso;42;24;2,699978
Floyd-Warshall;30;60;esparso;42;25;2,634878
Floyd-Warshall;30;60;esparso;42;26;2,314136
Floyd-Warshall;30;60;esparso;42;27;2,313951
Floyd-Warshall;30;60;esparso;42;28;2,641280
Floyd-Warshall;30;60;esparso;42;29;2,463468
Floyd-Warshall;30;60;esparso;42;30;2,422818
Floyd-Warshall;30;174;intermediario;43;1;3,773100
Floyd-Warshall;30;174;intermediario;43;2;3,829413
Floyd-Warshall;30;174;intermediario;43;3;3,677559
Floyd-Warshall;30;174;intermediario;43;4;3,751228
Floyd-Warshall;30;174;intermediario;43;5;3,794644
Floyd-Warshall;30;174;intermediario;43;6;3,586082
Floyd-Warshall;30;174;intermediario;43;7;3,546016
Floyd-Warshall;30;174;intermediario;43;8;3,253574
Floyd-Warshall;30;174;intermediario;43;9;3,147844
Floyd-Warshall;30;174;intermediario;43;10;3,594145
Floyd-Warshall;30;174;intermediario;43;11;3,387617
Floyd-Warshall;30;174;intermediario;43;12;3,362430
Floyd-Warshall;30;174;intermediario;43;13;3,472505
Floyd-Warshall;30;174;intermediario;43;14;3,647039
Floyd-Warshall;30;174;intermediario;43;15;3,435065
Floyd-Warshall;30;174;intermediario;43;16;3,460664
Floyd-Warshall;30;174;intermediario;43;17;3,435340
Floyd-Warshall;30;174;intermediario;43;18;3,344669
Floyd-Warshall;30;174;intermediario;43;19;3,281835
Floyd-Warshall;30;174;intermediario;43;20;3,314669
Floyd-Warshall;30;174;intermediario;43;21;3,195274
Floyd-Warshall;30;174;intermediario;43;22;3,230177
Floyd-Warshall;30;174;intermediario;43;23;3,454692
Floyd-Warshall;30;174;intermediario;43;24;3,365731
Floyd-Warshall;30;174;intermediario;43;25;3,360301
Floyd-Warshall;30;174;intermediario;43;26;3,655969
Floyd-Warshall;30;174;intermediario;43;27;3,456385
Floyd-Warshall;30;174;intermediario;43;28;3,483455
Floyd-Warshall;30;174;intermediario;43;29;3,245106
Floyd-Warshall;30;174;intermediario;43;30;3,501291
Floyd-Warshall;30;435;denso;44;1;4,118059
Floyd-Warshall;30;435;denso;44;2;4,378886
Floyd-Warshall;30;435;denso;44;3;4,420762
Floyd-Warshall;30;435;denso;44;4;4,143355
Floyd-Warshall;30;435;denso;44;5;4,217021
Floyd-Warshall;30;435;denso;44;6;4,292522
Floyd-Warshall;30;435;denso;44;7;3,875572
Floyd-Warshall;30;435;denso;44;8;3,884498
Floyd-Warshall;30;435;denso;44;9;4,198404
Floyd-Warshall;30;435;denso;44;10;3,976964
Floyd-Warshall;30;435;denso;44;11;3,873567
Floyd-Warshall;30;435;denso;44;12;3,942279
Floyd-Warshall;30;435;denso;44;13;3,663185
Floyd-Warshall;30;435;denso;44;14;3,689688
Floyd-Warshall;30;435;denso;44;15;3,720543
Floyd-Warshall;30;435;denso;44;16;3,675559
Floyd-Warshall;30;435;denso;44;17;3,719071
Floyd-Warshall;30;435;denso;44;18;3,860008
Floyd-Warshall;30;435;denso;44;19;3,841354
Floyd-Warshall;30;435;denso;44;20;3,841554
Floyd-Warshall;30;435;denso;44;21;3,986192
Floyd-Warshall;30;435;denso;44;22;3,831671
Floyd-Warshall;30;435;denso;44;23;3,667815
Floyd-Warshall;30;435;denso;44;24;4,153197
Floyd-Warshall;30;435;denso;44;25;3,606793
Floyd-Warshall;30;435;denso;44;26;3,844303
Floyd-Warshall;30;435;denso;44;27;3,947221
Floyd-Warshall;30;435;denso;44;28;3,718137
Floyd-Warshall;30;435;denso;44;29;3,770033
Floyd-Warshall;30;435;denso;44;30;3,928454
Floyd-Warshall;60;120;esparso;45;1;13,505735
Floyd-Warshall;60;120;esparso;45;2;13,409392
Floyd-Warshall;60;120;esparso;45;3;13,947933
Floyd-Warshall;60;120;esparso;45;4;14,177698
Floyd-Warshall;60;120;esparso;45;5;14,101060
Floyd-Warshall;60;120;esparso;45;6;13,963615
Floyd-Warshall;60;120;esparso;45;7;13,979971
Floyd-Warshall;60;120;esparso;45;8;13,636401
Floyd-Warshall;60;120;esparso;45;9;14,145326
Floyd-Warshall;60;120;esparso;45;10;13,465264
Floyd-Warshall;60;120;esparso;45;11;14,273381
Floyd-Warshall;60;120;esparso;45;12;13,781275
Floyd-Warshall;60;120;esparso;45;13;13,824648
Floyd-Warshall;60;120;esparso;45;14;13,810840
Floyd-Warshall;60;120;esparso;45;15;13,761488
Floyd-Warshall;60;120;esparso;45;16;13,596875
Floyd-Warshall;60;120;esparso;45;17;13,955141
Floyd-Warshall;60;120;esparso;45;18;14,298350
Floyd-Warshall;60;120;esparso;45;19;13,847353
Floyd-Warshall;60;120;esparso;45;20;12,917483
Floyd-Warshall;60;120;esparso;45;21;13,756103
Floyd-Warshall;60;120;esparso;45;22;13,716948
Floyd-Warshall;60;120;esparso;45;23;13,749948
Floyd-Warshall;60;120;esparso;45;24;14,273596
Floyd-Warshall;60;120;esparso;45;25;13,587618
Floyd-Warshall;60;120;esparso;45;26;13,979252
Floyd-Warshall;60;120;esparso;45;27;15,473305
Floyd-Warshall;60;120;esparso;45;28;14,322125
Floyd-Warshall;60;120;esparso;45;29;13,923673
Floyd-Warshall;60;120;esparso;45;30;14,123284
Floyd-Warshall;60;708;intermediario;46;1;26,139794
Floyd-Warshall;60;708;intermediario;46;2;25,506356
Floyd-Warshall;60;708;intermediario;46;3;25,136205
Floyd-Warshall;60;708;intermediario;46;4;25,379382
Floyd-Warshall;60;708;intermediario;46;5;25,472011
Floyd-Warshall;60;708;intermediario;46;6;25,435688
Floyd-Warshall;60;708;intermediario;46;7;24,577683
Floyd-Warshall;60;708;intermediario;46;8;25,242860
Floyd-Warshall;60;708;intermediario;46;9;25,544975
Floyd-Warshall;60;708;intermediario;46;10;25,800311
Floyd-Warshall;60;708;intermediario;46;11;24,956862
Floyd-Warshall;60;708;intermediario;46;12;25,029334
Floyd-Warshall;60;708;intermediario;46;13;24,811356
Floyd-Warshall;60;708;intermediario;46;14;27,829281
Floyd-Warshall;60;708;intermediario;46;15;25,799493
Floyd-Warshall;60;708;intermediario;46;16;26,047649
Floyd-Warshall;60;708;intermediario;46;17;25,457999
Floyd-Warshall;60;708;intermediario;46;18;25,015158
Floyd-Warshall;60;708;intermediario;46;19;25,487394
Floyd-Warshall;60;708;intermediario;46;20;24,883227
Floyd-Warshall;60;708;intermediario;46;21;25,482222
