algoritmo;vertices;arestas;densidade;semente;repeticoes;media_ms;desvio_padrao_ms;mediana_ms;minimo_ms;maximo_ms;memoria_pico_bytes
Johnson;30;60;esparso;42;30;1,246946;0,080179;1,227168;1,112937;1,503315;28200
Johnson;30;174;intermediario;43;30;2,131296;0,381347;2,060974;1,841816;3,482931;29432
Johnson;30;435;denso;44;30;3,481363;0,285303;3,460313;3,102096;4,780195;49832
Johnson;60;120;esparso;45;30;5,000413;0,208208;5,011849;4,596246;5,573113;93824
Johnson;60;708;intermediario;46;30;11,691827;0,303259;11,726932;10,963899;12,105676;101384
Johnson;60;1770;denso;47;30;19,867401;0,492929;19,761493;18,919355;21,130795;181224
Johnson;100;200;esparso;48;30;14,616977;0,532188;14,455034;13,947622;16,186010;279096
Johnson;100;1980;intermediario;49;30;43,683732;0,853493;43,758802;41,616728;45,506900;260952
Johnson;100;4950;denso;50;30;75,544309;1,197214;75,672560;73,517175;77,598550;480568
Johnson;150;300;esparso;51;30;33,386490;1,138155;33,225335;31,495265;38,253772;705856
Johnson;150;4470;intermediario;52;30;126,758829;1,888232;126,924429;122,390856;129,780593;563216
Johnson;150;11175;denso;53;30;231,356265;1,944686;231,114458;227,647622;235,655019;1056904
