algoritmo;vertices;arestas;densidade;semente;repeticao;tempo_ms
Johnson;30;60;esparso;42;1;1,297900
Johnson;30;60;esparso;42;2;1,268142
Johnson;30;60;esparso;42;3;1,304663
Johnson;30;60;esparso;42;4;1,269526
Johnson;30;60;esparso;42;5;1,352506
Johnson;30;60;esparso;42;6;1,311776
Johnson;30;60;esparso;42;7;1,275275
Johnson;30;60;esparso;42;8;1,372759
Johnson;30;60;esparso;42;9;1,219576
Johnson;30;60;esparso;42;10;1,186579
Johnson;30;60;esparso;42;11;1,219172
Johnson;30;60;esparso;42;12;1,211315
Johnson;30;60;esparso;42;13;1,347400
Johnson;30;60;esparso;42;14;1,281857
Johnson;30;60;esparso;42;15;1,223007
Johnson;30;60;esparso;42;16;1,231328
Johnson;30;60;esparso;42;17;1,242504
Johnson;30;60;esparso;42;18;1,213534
Johnson;30;60;esparso;42;19;1,112937
Johnson;30;60;esparso;42;20;1,209038
Johnson;30;60;esparso;42;21;1,209774
Johnson;30;60;esparso;42;22;1,217248
Johnson;30;60;esparso;42;23;1,194745
Johnson;30;60;esparso;42;24;1,151557
Johnson;30;60;esparso;42;25;1,150182
Johnson;30;60;esparso;42;26;1,143998
Johnson;30;60;esparso;42;27;1,160767
Johnson;30;60;esparso;42;28;1,282502
Johnson;30;60;esparso;42;29;1,503315
Johnson;30;60;esparso;42;30;1,243507
Johnson;30;174;intermediario;43;1;2,218583
Johnson;30;174;intermediario;43;2;2,122438
Johnson;30;174;intermediario;43;3;2,141602
Johnson;30;174;intermediario;43;4;2,249351
Johnson;30;174;intermediario;43;5;2,041053
Johnson;30;174;intermediario;43;6;2,086889
Johnson;30;174;intermediario;43;7;1,968233
Johnson;30;174;intermediario;43;8;1,970735
Johnson;30;174;intermediario;43;9;2,187545
Johnson;30;174;intermediario;43;10;2,085154
Johnson;30;174;intermediario;43;11;2,077728
Johnson;30;174;intermediario;43;12;1,847653
Johnson;30;174;intermediario;43;13;2,224878
Johnson;30;174;intermediario;43;14;2,074608
Johnson;30;174;intermediario;43;15;2,078531
Johnson;30;174;intermediario;43;16;2,075147
Johnson;30;174;intermediario;43;17;1,966764
Johnson;30;174;intermediario;43;18;1,961664
Johnson;30;174;intermediario;43;19;1,958661
Johnson;30;174;intermediario;43;20;1,938800
Johnson;30;174;intermediario;43;21;1,941749
Johnson;30;174;intermediario;43;22;1,955041
Johnson;30;174;intermediario;43;23;1,890969
Johnson;30;174;intermediario;43;24;1,841816
Johnson;30;174;intermediario;43;25;2,047341
Johnson;30;174;intermediario;43;26;2,015347
Johnson;30;174;intermediario;43;27;1,915807
Johnson;30;174;intermediario;43;28;3,482931
